trend,source_text,date,platform,sentiment,mentions_score

trend,source_text,date,platform,sentiment,mentions_score
balletcore,"Soft feminine outfits, ballet flats, and wrap sweaters are still showing up heavily in spring fashion trend edits.",2026-03-28,TikTok,positive,8
balletcore,"People are starting to say balletcore feels overdone compared to newer aesthetics.",2026-04-10,Blog,negative,5
balletcore,"Retail roundup shows ballet flats still selling, but trend coverage is less intense than last year.",2026-04-05,Magazine,neutral,6
brat aesthetic,"Neon green visuals and messy party-girl styling are still driving online conversation around brat aesthetic.",2026-04-08,TikTok,positive,9
brat aesthetic,"Some creators say the brat aesthetic already peaked last summer and is entering parody territory.",2026-04-12,X,negative,5
brat aesthetic,"Brand campaigns continue referencing brat-coded visuals, suggesting the aesthetic still has cultural reach.",2026-04-09,Brand Watch,positive,8
doechii,"Doechii clips and performance moments are getting shared widely and fans are calling her the next major style and music force.",2026-04-11,TikTok,positive,9
doechii,"Music writers are highlighting Doechii's momentum and crossover appeal across fashion and music spaces.",2026-04-07,Magazine,positive,8
doechii,"Audience growth remains strong and discussion is still increasing after recent appearances.",2026-04-13,Blog,positive,9
mob wife aesthetic,"Leopard print, oversized fur, and dramatic glam are still circulating, but trend engagement has cooled.",2026-04-06,TikTok,neutral,6
mob wife aesthetic,"Trend watchers are calling mob wife aesthetic one of the fastest trends to burn out.",2026-04-14,Blog,negative,4
mob wife aesthetic,"Search interest appears to be flattening as users move to softer or more minimal looks.",2026-04-10,Newsletter,negative,5
labubu,"Collectors are posting unboxings and resale conversations are pushing labubu back into viral territory.",2026-04-12,TikTok,positive,9
labubu,"Online demand is rising again as creator content and collector culture make the product feel scarce.",2026-04-14,Resale Blog,positive,8
labubu,"Some users are just discovering labubu, which usually signals room for continued momentum.",2026-04-13,X,positive,8
